Date,interest_rate
1944-10,1.0031397144875707
1944-11,1.0039123780735197
1944-12,1.0350740305487975
1945-01,1.0143072694185293
1945-02,1.0616184043988244
1945-03,0.9517482150451525
1945-04,1.0903747631843026
1945-05,1.0114555306297823
1945-06,0.9906728620127954
1945-07,0.9858776032439036
1945-08,1.0579809270338958
1945-09,1.0348161831212068
1945-10,1.0373832031146946
1945-11,1.0324324881621234
1945-12,1.0098894747534843
1946-01,1.0697004056411812
1946-02,0.9305331702004144
1946-03,1.0439814929792905
1946-04,1.0399112681161107
1946-05,1.0223880634951878
1946-06,0.9608967680882877
1946-07,0.974498035110117
1946-08,0.9270601596480623
1946-09,0.8984985213751927
1946-10,0.9919786172959164
1946-11,0.9892183392340325
1946-12,1.0422343237513754
1947-01,1.023529389031985
1947-02,0.9853129281942914
